,IdE,NombreE,ApellidoE,FechaNacE,EdadE,GeneroE
111,E00000112,Camilo,Barbosa,2019-09-19,3,Masculino
112,E00000113,Laura,Silva,2020-06-30,2,Femenino
113,E00000114,Víctor,Bastidas,2019-03-22,3,Masculino
114,E00000115,Luz,Flórez,2019-10-30,3,Femenino
115,E00000116,Yohana,Montenegro,2020-02-15,2,Femenino
116,E00000117,Tatiana,Rodríguez,2017-12-28,4,Femenino
117,E00000118,Luis,Álvarez,2019-04-11,3,Masculino
118,E00000119,Luis,Castro,2020-01-24,2,Masculino
119,E00000120,José,Correa,2019-09-22,3,Masculino
120,E00000121,Blanca,Parra,2020-01-15,2,Femenino
121,E00000122,Patricia,Murillo,2020-02-15,2,Femenino
122,E00000123,Jaime,Gutiérrez,2018-01-16,4,Masculino
123,E00000124,Francisco,Giraldo,2019-10-31,3,Masculino
124,E00000125,Michel,Gómez,2020-03-07,2,Femenino
125,E00000126,Jairo,Luna,2019-12-02,3,Masculino
126,E00000127,Carlos,Flórez,2020-08-08,2,Masculino
127,E00000128,Juan,Torres,2017-09-24,5,Masculino
128,E00000129,Javier,Ortega,2019-05-10,3,Masculino
129,E00000130,Natalia,López,2018-02-08,4,Femenino
130,E00000131,Alejandra,Castillo,2020-02-15,2,Femenino
131,E00000132,Yeison,Quintero,2020-03-26,2,Masculino
132,E00000133,José,Morales,2019-03-28,3,Masculino
133,E00000134,Julián,Díaz,2020-02-08,2,Masculino
134,E00000135,Azucena,Gómez,2017-09-21,5,Femenino
135,E00000136,Carlos,Castaño,2019-05-07,3,Masculino
136,E00000137,Pilar,Moreno,2018-09-19,4,Femenino
137,E00000138,José,Arias,2019-11-18,3,Masculino
138,E00000139,Santiago,Pérez,2018-09-11,4,Masculino
139,E00000140,Rafael,Medina,2020-06-26,2,Masculino
140,E00000141,José,Muñoz,2020-08-15,2,Masculino
141,E00000142,Rosario,Bernal,2020-01-05,2,Femenino
142,E00000143,Fernando,Aguirre,2018-07-01,4,Masculino
143,E00000144,Iván,Suárez,2017-11-17,5,Masculino
144,E00000145,María,Arias,2019-08-31,3,Femenino
145,E00000146,Edwin,González,2020-05-19,2,Masculino
146,E00000147,Pedro,Ramírez,2019-09-30,3,Masculino
147,E00000148,Amparo,Rojas,2018-05-03,4,Femenino
148,E00000149,Iván,Rodríguez,2020-05-23,2,Masculino
149,E00000150,Danilo,Domínguez,2019-05-30,3,Masculino
150,E00000151,Lina,Narváez,2017-09-14,5,Femenino
151,E00000152,León,González,2018-04-26,4,Masculino
152,E00000153,Mauricio,Pérez,2019-12-15,2,Masculino
153,E00000154,Yuliana,Ortega,2020-05-16,2,Femenino
154,E00000155,Martha,Cardona,2017-10-24,5,Femenino
155,E00000156,Ever,Carvajal,2020-07-18,2,Masculino
156,E00000157,Luis,Melo,2018-05-21,4,Masculino
157,E00000158,Xiomara,Molina,2018-01-12,4,Femenino
158,E00000159,Felix,Manrique,2019-03-18,3,Masculino
159,E00000160,Magnolia,Alfonso,2020-06-08,2,Femenino
160,E00000161,Dario,Monroy,2017-11-28,5,Masculino
161,E00000162,Lorena,Murillo,2020-08-05,2,Femenino
162,E00000163,Tatiana,Acosta,2018-09-18,4,Femenino
163,E00000164,Francisco,Sánchez,2018-01-15,4,Masculino
164,E00000165,Isabel,Bautista,2017-12-31,4,Femenino
165,E00000166,Nel,Olaya,2018-12-04,4,Masculino
166,E00000167,Lorena,Contreras,2019-02-04,3,Femenino
167,E00000168,Jefferson,Restrepo,2018-02-11,4,Masculino
168,E00000169,Santiago,Beltrán,2018-12-13,3,Masculino
169,E00000170,Horacio,Peña,2019-11-17,3,Masculino
170,E00000171,Elena,Saavedra,2019-12-02,3,Femenino
171,E00000172,Antonio,Calderón,2019-07-17,3,Masculino
172,E00000173,Agustín,Silva,2018-09-21,4,Masculino
173,E00000174,Catalina,Trujillo,2019-04-09,3,Femenino
174,E00000175,Jhon,Herrera,2019-09-29,3,Masculino
175,E00000176,Clara,Castro,2019-01-14,3,Femenino
176,E00000177,Felipe,Jiménez,2017-11-07,5,Masculino
177,E00000178,Javier,Sanabria,2018-05-25,4,Masculino
178,E00000179,Óscar,Burbano,2019-04-27,3,Masculino
179,E00000180,Omar,Martínez,2019-10-07,3,Masculino
180,E00000181,Andrea,Vergara,2020-07-11,2,Femenino
181,E00000182,Patricia,Pérez,2018-07-10,4,Femenino
182,E00000183,Anderson,Villamizar,2018-05-27,4,Masculino
183,E00000184,María,Beltrán,2020-05-31,2,Femenino
184,E00000185,Flor,Muñoz,2020-02-06,2,Femenino
185,E00000186,Patricia,Ocampo,2019-03-31,3,Femenino
186,E00000187,Diego,García,2019-04-17,3,Masculino
187,E00000188,Santiago,Rodríguez,2017-12-16,4,Masculino
188,E00000189,Efrain,Suárez,2020-08-01,2,Masculino
189,E00000190,Hernán,Rojas,2019-03-18,3,Masculino
190,E00000191,José,Cortés,2018-12-24,3,Masculino
191,E00000192,José,Escobar,2019-01-05,3,Masculino
192,E00000193,José,Puentes,2020-07-16,2,Masculino
193,E00000194,Víctor,Delgado,2020-06-17,2,Masculino
194,E00000195,Derly,Figueroa,2018-10-10,4,Femenino
195,E00000196,Jhon,Garzón,2019-09-26,3,Masculino
196,E00000197,Gildardo,Castro,2018-01-25,4,Masculino
197,E00000198,Álvaro,Cardona,2019-06-22,3,Masculino
198,E00000199,Juliana,Angulo,2018-12-26,3,Femenino
199,E00000200,Gabriel,Caro,2018-03-05,4,Masculino
200,E00000201,Sandra,Cárdenas,2019-10-17,3,Femenino
201,E00000202,Fernando,López,2019-02-20,3,Masculino
202,E00000203,Patricia,Ramírez,2019-08-15,3,Femenino
203,E00000204,Miguel,Medina,2020-04-14,2,Masculino
204,E00000205,Wendy,Santos,2018-06-22,4,Femenino
205,E00000206,Aida,Triana,2019-08-16,3,Femenino
206,E00000207,Edith,Salas,2017-09-28,5,Femenino
207,E00000208,Harold,Martínez,2020-01-19,2,Masculino
208,E00000209,Socorro,Blanco,2019-02-11,3,Femenino
209,E00000210,Carlos,Carvajal,2019-08-27,3,Masculino
210,E00000211,Yolanda,Roa,2018-06-18,4,Femenino
211,E00000212,Stella,Rojas,2018-04-18,4,Femenino
212,E00000213,Julio,Acevedo,2017-09-13,5,Masculino
213,E00000214,Smith,Osorio,2020-04-24,2,Masculino
214,E00000215,Silvia,Oviedo,2018-03-16,4,Femenino
215,E00000216,Jhon,Cruz,2018-12-04,4,Masculino
216,E00000217,Blanca,Rodríguez,2019-06-22,3,Femenino
217,E00000218,Verónica,Niño,2019-10-03,3,Femenino
218,E00000219,Víctor,Martínez,2018-02-10,4,Masculino
219,E00000220,Adolfo,Rodríguez,2018-12-09,3,Masculino
220,E00000221,Tulia,Rivera,2018-09-15,4,Femenino
221,E00000222,Carlos,Vega,2019-01-07,3,Masculino
222,E00000223,Paula,Paz,2020-08-20,2,Femenino
223,E00000224,José,Díaz,2020-07-08,2,Masculino
224,E00000225,Luis,Cortés,2020-07-15,2,Masculino
225,E00000226,Yulieth,Bejarano,2017-10-02,5,Femenino
226,E00000227,Anderson,Jaimes,2017-10-30,5,Masculino
227,E00000228,Manuel,Rojas,2018-07-21,4,Masculino
228,E00000229,Karen,Cárdenas,2018-11-09,4,Femenino
229,E00000230,Smith,Ramírez,2019-12-22,2,Masculino
230,E00000231,William,Quiroz,2018-06-22,4,Masculino
231,E00000232,María,Vera,2020-02-29,2,Femenino
232,E00000233,María,Rodríguez,2018-04-07,4,Femenino
233,E00000234,Juan,Bedoya,2019-04-07,3,Masculino
234,E00000235,Cecilia,Castro,2019-08-10,3,Femenino
235,E00000236,Mónica,Gutiérrez,2018-05-06,4,Femenino
236,E00000237,Alonso,López,2019-02-01,3,Masculino
237,E00000238,Germán,Hernández,2019-03-06,3,Masculino
238,E00000239,Hernando,Ariza,2019-12-02,3,Masculino
239,E00000240,Cecilia,Sánchez,2019-12-08,2,Femenino
240,E00000241,Sandra,Cardona,2020-02-26,2,Femenino
241,E00000242,Angie,González,2017-12-01,5,Femenino
242,E00000243,Víctor,Díaz,2018-05-25,4,Masculino
243,E00000244,Andrés,Mendoza,2019-10-23,3,Masculino
244,E00000245,Mateo,Parada,2017-09-04,5,Masculino
245,E00000246,Rafael,Álvarez,2018-02-07,4,Masculino
246,E00000247,Dora,Barragán,2018-07-03,4,Femenino
247,E00000248,Jaime,Quintero,2018-02-07,4,Masculino
248,E00000249,Edilma,Escobar,2020-04-28,2,Femenino
249,E00000250,Sergio,Guerrero,2020-04-16,2,Masculino
250,E00000251,Alonso,Pacheco,2020-08-01,2,Masculino
251,E00000252,Leonor,Prieto,2018-08-14,4,Femenino
252,E00000253,María,Pineda,2017-09-25,5,Femenino
253,E00000254,Andrea,Arias,2018-04-08,4,Femenino
254,E00000255,Raquel,Becerra,2019-06-29,3,Femenino
255,E00000256,Mauricio,Becerra,2020-07-01,2,Masculino
256,E00000257,Patricia,Mena,2020-07-17,2,Femenino
257,E00000258,Margarita,Moreno,2020-05-23,2,Femenino
258,E00000259,Diana,Gutiérrez,2018-02-25,4,Femenino
259,E00000260,Viviana,Lara,2018-05-01,4,Femenino
260,E00000261,Esther,Ordóñez,2020-03-19,2,Femenino
261,E00000262,Luis,Burbano,2018-06-03,4,Masculino
262,E00000263,Cecilia,Reyes,2018-03-09,4,Femenino
263,E00000264,Flor,Rodríguez,2019-02-22,3,Femenino
264,E00000265,William,Restrepo,2017-10-31,5,Masculino
265,E00000266,Cecilia,Mena,2018-10-03,4,Femenino
266,E00000267,Lilian,Gil,2020-01-08,2,Femenino
267,E00000268,Daniel,García,2018-11-04,4,Masculino
268,E00000269,Fernanda,Ortiz,2017-12-05,5,Femenino
269,E00000270,Socorro,Garzón,2018-11-19,4,Femenino
270,E00000271,Socorro,Pérez,2019-05-25,3,Femenino
271,E00000272,Alfredo,Rodríguez,2019-11-20,3,Masculino
272,E00000273,Carlos,Rodríguez,2017-11-19,5,Masculino
273,E00000274,Eduardo,Ortega,2018-07-30,4,Masculino
274,E00000275,Julián,Vega,2018-01-31,4,Masculino
275,E00000276,Martha,Gamboa,2017-09-05,5,Femenino
276,E00000277,Milena,Gutiérrez,2017-12-04,5,Femenino
277,E00000278,Nelson,Córdoba,2017-10-12,5,Masculino
278,E00000279,Jesús,Murcia,2017-12-16,4,Masculino
279,E00000280,Nora,Sánchez,2018-10-04,4,Femenino
280,E00000281,Paula,Montes,2018-12-15,3,Femenino
281,E00000282,Alfonso,Serrano,2017-11-11,5,Masculino
282,E00000283,José,Velandia,2018-07-01,4,Masculino
283,E00000284,Miryam,Gómez,2018-07-05,4,Femenino
284,E00000285,Marina,Cárdenas,2020-07-13,2,Femenino
285,E00000286,Adriana,Moreno,2019-06-12,3,Femenino
286,E00000287,Laura,Morales,2020-08-28,2,Femenino
287,E00000288,Fredy,Mosquera,2018-11-23,4,Masculino
288,E00000289,Tulio,Barragán,2018-05-26,4,Masculino
289,E00000290,Orlando,Guerrero,2020-08-29,2,Masculino
290,E00000291,Jorge,Trujillo,2018-06-17,4,Masculino
291,E00000292,Mabel,Cerón,2018-02-12,4,Femenino
292,E00000293,Víctor,Granados,2019-10-02,3,Masculino
293,E00000294,Milena,Valencia,2020-08-25,2,Femenino
294,E00000295,Alberto,González,2018-10-30,4,Masculino
295,E00000296,Diego,Ayala,2018-02-05,4,Masculino
296,E00000297,Consuelo,Pérez,2019-07-22,3,Femenino
297,E00000298,David,Flórez,2017-09-17,5,Masculino
298,E00000299,Stiven,Naranjo,2018-06-09,4,Masculino
299,E00000300,Antonio,Montoya,2018-06-02,4,Masculino
300,E00000301,Stiven,Martínez,2018-10-20,4,Masculino
301,E00000302,Sandra,Guerrero,2017-12-02,5,Femenino
302,E00000303,Fernando,Acevedo,2018-11-29,4,Masculino
303,E00000304,Rafael,Castillo,2020-05-30,2,Masculino
304,E00000305,Carolina,Campo,2018-10-03,4,Femenino
305,E00000306,Ester,Sánchez,2017-09-14,5,Femenino
306,E00000307,Jorge,Chacón,2020-02-25,2,Masculino
307,E00000308,José,Martínez,2020-03-27,2,Masculino
308,E00000309,Fredy,Sepúlveda,2020-05-13,2,Masculino
309,E00000310,Libardo,Villamil,2017-12-29,4,Masculino
310,E00000311,Elisa,Acevedo,2017-11-01,5,Femenino
311,E00000312,Alba,López,2020-07-22,2,Femenino
312,E00000313,Patricia,Valencia,2019-08-30,3,Femenino
313,E00000314,Juan,Caicedo,2018-04-19,4,Masculino
314,E00000315,Alex,Mora,2020-06-08,2,Masculino
315,E00000316,Francisco,Córdoba,2017-12-23,4,Masculino
316,E00000317,María,Quintero,2019-04-08,3,Femenino
317,E00000318,Álvaro,Peña,2019-10-13,3,Masculino
318,E00000319,Felipe,Acevedo,2018-12-05,4,Masculino
319,E00000320,Emilio,Restrepo,2018-04-10,4,Masculino
320,E00000321,Camilo,Rodríguez,2019-04-03,3,Masculino
321,E00000322,Ángela,Pérez,2019-04-25,3,Femenino
322,E00000323,Kevin,Vergara,2019-04-02,3,Masculino
323,E00000324,Leonardo,Ortiz,2020-08-19,2,Masculino
324,E00000325,Ramón,González,2020-08-12,2,Masculino
325,E00000326,Yanet,Arango,2020-07-01,2,Femenino
326,E00000327,Francisco,Castro,2018-12-18,3,Masculino
327,E00000328,Beatriz,Gutiérrez,2018-07-08,4,Femenino
328,E00000329,Bernardo,Vergara,2017-11-22,5,Masculino
329,E00000330,Karina,Manrique,2018-09-17,4,Femenino
330,E00000331,Augusto,Rentería,2019-10-03,3,Masculino
331,E00000332,Gloria,Sánchez,2020-07-27,2,Femenino
332,E00000333,Yesid,Barrios,2017-12-06,4,Masculino
333,E00000334,Jessica,Domínguez,2019-03-30,3,Femenino
334,E00000335,Liliana,Zapata,2018-08-17,4,Femenino
335,E00000336,Marina,Romero,2020-04-05,2,Femenino
336,E00000337,Aldemar,Mejía,2019-11-14,3,Masculino
337,E00000338,Yuri,Vásquez,2018-04-03,4,Femenino
338,E00000339,Hernán,Trujillo,2018-01-25,4,Masculino
339,E00000340,Felipe,Rivera,2018-08-26,4,Masculino
340,E00000341,Nubia,Pérez,2017-10-03,5,Femenino
341,E00000342,Claudia,Mosquera,2019-03-05,3,Femenino
342,E00000343,Juan,Sandoval,2019-10-29,3,Masculino
343,E00000344,David,Bedoya,2019-10-06,3,Masculino
344,E00000345,Mauricio,Castellanos,2019-11-11,3,Masculino
345,E00000346,Aurelio,Ortega,2020-02-15,2,Masculino
346,E00000347,María,Ríos,2018-07-27,4,Femenino
347,E00000348,Daniela,Pérez,2017-12-12,4,Femenino
348,E00000349,Fernando,Sierra,2020-08-12,2,Masculino
349,E00000350,Yolanda,Estrada,2017-11-01,5,Femenino
350,E00000351,Libia,Álvarez,2018-04-24,4,Femenino
351,E00000352,María,Oviedo,2019-01-13,3,Femenino
352,E00000353,Esther,Ortiz,2018-07-05,4,Femenino
353,E00000354,Robinson,Bautista,2019-01-12,3,Masculino
354,E00000355,María,López,2019-11-08,3,Femenino
355,E00000356,Eugenia,Garcés,2018-12-29,3,Femenino
356,E00000357,Manuel,Bedoya,2018-11-08,4,Masculino
357,E00000358,Diana,Morales,2018-08-15,4,Femenino
358,E00000359,Sandra,Ramos,2020-07-04,2,Femenino
359,E00000360,Yeison,Castillo,2019-06-05,3,Masculino
360,E00000361,Freddy,Muñoz,2019-09-12,3,Masculino
361,E00000362,Jaime,Morales,2017-09-15,5,Masculino
362,E00000363,Ligia,Ramírez,2018-07-24,4,Femenino
363,E00000364,Blanca,Mantilla,2018-04-11,4,Femenino
364,E00000365,Gloria,Prada,2018-07-22,4,Femenino
365,E00000366,Pablo,Gómez,2020-02-01,2,Masculino
366,E00000367,Marco,Peña,2018-01-14,4,Masculino
367,E00000368,Nel,Burgos,2019-10-26,3,Masculino
368,E00000369,Yina,Pinzón,2020-02-12,2,Femenino
369,E00000370,Elizabeth,Moreno,2019-09-24,3,Femenino
370,E00000371,Marcela,Aguirre,2020-01-31,2,Femenino
371,E00000372,José,Zapata,2020-02-14,2,Masculino
372,E00000373,Fanny,Bustos,2019-11-09,3,Femenino
373,E00000374,Ernesto,González,2019-05-18,3,Masculino
374,E00000375,Jorge,Ariza,2018-02-11,4,Masculino
375,E00000376,Patricia,Arroyo,2017-12-21,4,Femenino
376,E00000377,Fernanda,Caicedo,2018-07-31,4,Femenino
377,E00000378,Carlos,Cardona,2018-05-15,4,Masculino
378,E00000379,Enrique,González,2020-03-19,2,Masculino
379,E00000380,Pedro,Garzón,2018-08-22,4,Masculino
380,E00000381,Cristian,Pérez,2019-09-18,3,Masculino
381,E00000382,Julián,García,2020-01-18,2,Masculino
382,E00000383,David,Vargas,2020-05-21,2,Masculino
383,E00000384,William,García,2019-11-19,3,Masculino
384,E00000385,William,Acosta,2018-09-26,4,Masculino
385,E00000386,Aleida,Ávila,2019-04-27,3,Femenino
386,E00000387,Fanny,Castro,2020-01-27,2,Femenino
387,E00000388,Alberto,Castellanos,2018-04-13,4,Masculino
388,E00000389,Camilo,Suárez,2018-03-20,4,Masculino
389,E00000390,Mery,Márquez,2018-11-14,4,Femenino
390,E00000391,Lucía,Silva,2020-01-24,2,Femenino
391,E00000392,Irene,Bustamante,2017-10-04,5,Femenino
392,E00000393,María,Hernández,2018-05-13,4,Femenino
393,E00000394,Jhonatan,Moreno,2019-08-14,3,Masculino
394,E00000395,Norma,Rojas,2020-07-27,2,Femenino
395,E00000396,Rosario,Martínez,2018-10-23,4,Femenino
396,E00000397,Rafael,Moreno,2018-10-25,4,Masculino
397,E00000398,David,Naranjo,2019-03-08,3,Masculino
398,E00000399,Manuel,López,2019-03-27,3,Masculino
399,E00000400,Carmen,Bustos,2019-09-11,3,Femenino
400,E00000401,Carlos,Vargas,2019-02-10,3,Masculino
401,E00000402,Marcela,Martínez,2017-09-14,5,Femenino
402,E00000403,Juan,Pardo,2019-09-15,3,Masculino
403,E00000404,Jonathan,Mosquera,2020-07-17,2,Masculino
404,E00000405,Adela,Arenas,2020-06-07,2,Femenino
405,E00000406,Clara,Solano,2018-09-12,4,Femenino
406,E00000407,Dayana,Cardona,2018-07-23,4,Femenino
407,E00000408,Esperanza,Murcia,2017-10-01,5,Femenino
408,E00000409,Claudia,Mosquera,2019-09-03,3,Femenino
409,E00000410,Jaime,Benavides,2019-04-10,3,Masculino
410,E00000411,Francisco,Vargas,2020-03-19,2,Masculino
411,E00000412,José,Caicedo,2020-01-14,2,Masculino
412,E00000413,Ernesto,Romero,2018-04-03,4,Masculino
413,E00000414,María,Lozano,2017-09-28,5,Femenino
414,E00000415,Gustavo,Correa,2019-06-27,3,Masculino
415,E00000416,María,Uribe,2018-06-14,4,Femenino
416,E00000417,Lucía,Rojas,2018-01-13,4,Femenino
417,E00000418,Óscar,Correa,2018-01-02,4,Masculino
418,E00000419,Óscar,Luna,2020-03-19,2,Masculino
419,E00000420,Alberto,Reyes,2019-01-16,3,Masculino
420,E00000421,María,Díaz,2018-03-16,4,Femenino
421,E00000422,Alonso,Jaimes,2019-02-23,3,Masculino
422,E00000423,Francisco,Galeano,2019-04-09,3,Masculino
423,E00000424,Abel,López,2019-09-03,3,Masculino
424,E00000425,María,Ruiz,2017-10-15,5,Femenino
425,E00000426,José,Gómez,2019-04-17,3,Masculino
426,E00000427,Edward,Vargas,2018-10-01,4,Masculino
427,E00000428,Rita,Vega,2020-07-30,2,Femenino
428,E00000429,Aldemar,Meza,2019-10-16,3,Masculino
429,E00000430,Manuela,Agudelo,2019-08-25,3,Femenino
430,E00000431,Ángel,Velasco,2018-08-01,4,Masculino
431,E00000432,Alberto,Serna,2019-11-04,3,Masculino
432,E00000433,Eduardo,Palacios,2020-06-29,2,Masculino
433,E00000434,Martha,Narváez,2019-05-04,3,Femenino
434,E00000435,Eduardo,Guzmán,2019-11-06,3,Masculino
435,E00000436,Armando,Montoya,2018-03-27,4,Masculino
436,E00000437,Estiven,Ríos,2020-04-17,2,Masculino
437,E00000438,Mariana,Burbano,2020-05-23,2,Femenino
438,E00000439,María,Rincón,2019-05-28,3,Femenino
439,E00000440,William,Martínez,2019-09-21,3,Masculino
440,E00000441,Leonardo,Valencia,2017-11-10,5,Masculino
441,E00000442,Carlos,Silva,2019-11-03,3,Masculino
442,E00000443,Juan,Acosta,2017-11-23,5,Masculino
443,E00000444,Elizabeth,Pérez,2019-10-18,3,Femenino
444,E00000445,Fernando,Vallejo,2019-06-25,3,Masculino
445,E00000446,Víctor,Blanco,2020-02-06,2,Masculino
446,E00000447,Luis,Correa,2020-06-08,2,Masculino
447,E00000448,Victoria,Sánchez,2018-10-12,4,Femenino
448,E00000449,Alcira,Rueda,2019-12-25,2,Femenino
449,E00000450,Viviana,Guerra,2018-03-14,4,Femenino
450,E00000451,Alberto,Orozco,2018-09-08,4,Masculino
451,E00000452,Augusto,Bernal,2018-11-18,4,Masculino
452,E00000453,Eliana,Castaño,2018-06-25,4,Femenino
453,E00000454,Ricardo,Roa,2019-03-24,3,Masculino
454,E00000455,Julieth,Zapata,2017-10-26,5,Femenino
